topic,category,question,answer,keywords,timestamp
Passport Renewal Process,Visa/Immigration,كيف أعرف إذا جوازي تم تجديده و خلاص جاهز؟,بيجيك ايميل من utmi يقولك ان الجواز جاهز عشان تاخده.,"['passport', 'renewal', 'ready']",2025-01-31
Passport Processing Time,Visa/Immigration,كم تأخذ المعاملة تقريبًا بعد الدفع للجواز؟,المعاملة تاخذ اسبوعين تقريبًا.,"['passport', 'processing', 'time', 'two weeks']",2025-01-31
Clinic Availability,Student Life,وين في مستوصف قريب حول الجامعة؟,جرب هالمكان: https://maps.app.goo.gl/2cBW1LrvSCydQg7u9?g_st=com.google.maps.preview.copy,"['clinic', 'medical', 'university', 'location']",2025-01-30
UTMi Operating Hours,Other,دوامهم كيف يوم الجمعة؟,من ٨:٣٠ إلى ١٢.,"['UTMi', 'operating hours', 'Friday']",2025-01-30
Sports Events Participation,Student Life,هل فيه فعاليات غير الكورة؟,ادخل خذ لك لفة الفعاليااات مره كثيرة.,"['events', 'sports', 'participation']",2025-01-29
Requirements for Yemeni Visitors to Malaysia,Visa/Immigration,What are the requirements for Yemenis to enter Malaysia?,"You can fill out the data form before arriving, two days in advance. Here is the link to the form: https://forms.gle/EktXNj4VJyMPhbJi9.","['Yemeni', 'Malaysia', 'requirements', 'form']",2025-03-01
Transfer of Funds from Malaysia to Saudi Arabia,Other,How can I transfer money from Malaysia to Saudi Arabia?,Please ask someone who is knowledgeable about the local options or financial services available for transferring money.,"['transfer', 'funds', 'Malaysia', 'Saudi Arabia']",2025-03-01
Transit Procedures in India,Visa/Immigration,What are the requirements when transiting through India?,"If anyone has information regarding transit in India, please share it.","['transit', 'India', 'requirement']",2025-03-02
Changes in UTMI Working Hours During Ramadan,Academic,Do the working hours for UTMI change during Ramadan?,"Yes, there are adjusted working hours during Ramadan.","['UTMI', 'working hours', 'Ramadan']",2025-03-04
New Students Orientation at UTM,Academic,When is the new students orientation program at UTM?,"The orientation program is on March 6, 2025, from 8:00 AM to 5:45 PM at Lecture Hall 8, Block N24, UTM.","['new students', 'orientation', 'UTM']",2025-03-05
Confirmation Letter Request Procedure,Other,How do I obtain a confirmation letter?,Send them an email; they will send it to you directly.,"['confirmation letter', 'request']",2025-03-05
Registration Timeline for New Semester Students,Academic,When should new students register for their courses?,They will receive an email a week before the semester starts for registration details.,"['registration', 'new students', 'semester']",2025-03-05
Confirmation Letter Inquiry,Academic,كيف اطلع confirmation letter?,ارسلهم ايميل بيرسلوها لك على طول.,"['confirmation letter', 'email', 'inquiry']",2025-03-05
Semester Fees Payment Information,Student Life,هل فيه معلومات حساب بنك تبع الجامعه ممكن احول عليه رسوم السمستر ؟,ادفع من UTM smart.,"['semester fees', 'bank account', 'payment']",2025-03-05
English Language Certificate Verification Time,Academic,كم ياخذو وقت للتأكد من موضوع شهادة اللغة الانجليزية؟,10 - 20 يوم تقريبا.,"['English language certificate', 'verification', 'time']",2025-03-05
Fellow Assistant Position Application,Academic,فيه فرصة للانضمام كمساعد زميل في UTM؟,"Priority will be given to candidates in the early stages of their studies. All completed physical application forms must be submitted to the Secretary, Council of Residential College Principals, by March 12, 2025.","['Fellow Assistant', 'application', 'UTM']",2025-03-06
Visa Status Inquiry for Student Application,Visa/Immigration,كيف أقدم على فيزا طالب مع وجود فيزا سياحية؟,لازم الخروج من ماليزيا، لأن المجريشن نفسه بيرفض الفيزا.,"['student visa', 'tourist visa', 'application process']",2025-03-06
Commissioner for Oaths Office Inquiry,Other,هل في مكتب مرخص من Commissioner for Oaths في سكوداي؟,ابحث عن notary public وشوف اقرب واحد لك.,"['Commissioner for Oaths', 'notary public', 'Skudai']",2025-03-06
ATM Withdrawal with Saudi Card,Student Life,اش الصرافات اللي اقدر اسحب فلوس بالبطاقه (البطاقه سعوديه)?,تقريبا كلها تقدر لكن حسب البطاقه اذا فيزا تقريبا بكل صرافه.,"['ATM', 'withdrawal', 'Saudi card']",2025-03-06
TOEFL Testing Issue,Academic,حصلت على حالة الاختبار كنسل في امتحان التوفل مع العلم أنني أكملت الاختبار كافة الإجراءات، ماذا أفعل؟,حاول تتواصل معاهم سواء اتصال لو عندهم مكتب او عبر الايميل وتشوف ايش المشكله بالضبط.,"['TOEFL', 'اختبار', 'نتيجة', 'مشكلة']",2024-01-04
University Holiday Schedule,Student Life,متى تبدأ العطلة الرسمية في UTM؟,الاجازه الرسميه يومين فقط 11 - 10 April.,"['عطلة', 'UTM', 'اجازه']",2024-01-04
Banking Services in Malaysia,Visa/Immigration,كيف يمكنني تفعيل الماتريك في RHB؟,لازم تفعلها من عند البنك ، وتحجز موعد مع البنك.,"['الماتريك', 'RHB', 'تفعيل', 'موعد']",2024-01-04
Visa Renewal Process,Visa/Immigration,هل يجب أن أعطيهم جواز سفري الآن أم بعد سفري للسعودية لتجديد الفيزا؟,ف الأفضل انك تسافر وتبدأ الإجراءات اونلاين ولما توصل تسلم الجواز.,"['تجديد', 'فيزا', 'جواز سفر', 'إجراءات']",2024-01-04
Prayer Timings,Other,متى تبدأ صلاة التهجد في مسجد الجامعة؟,مسجد الجامعه الساعه 4 ، مسجد بردانا الساعه 2:45.,"['صلاة', 'تهجد', 'مسجد']",2024-01-04
Early Certificate Application,Academic,كيف يمكنني التقديم على الشهادة المبكرة؟,هذا الموقع 👆🏻.,"['شهادة', 'تقديم', 'شهادة مبكرة']",2024-04-04
Money Transfer to Yemen and Saudi Arabia,Visa/Immigration,ما هي طرق تحويل الأموال إلى اليمن والسعودية بشكل عاجل؟,موني جرام / ويستيرن يونيون أو المحولين.,"['تحويل', 'أموال', 'يمن', 'سعودية']",2024-04-04
التحضير للاختبار,Academic,اذا واحد ما هو يمني يحضر عادي او لا,امتلأ العدد حاليا، بس الي عبى الفورم اهلا وسهلا فيه يمني او لا,"['اختبار', 'يمني', 'حضور']",2024-04-04
استلام حوالة من الخارج,Other,شباب إذا واحد يريد يستلم حواله من الخارج (غير اليمن) ما افضل صراف ممكن نستلم منه من غير wester Union,"Money gram, اذا من السعوديه Upay او Stc pay","['حوالة', 'Money gram', 'Upay', 'Stc pay']",2024-04-06
معلومات عن صلاة العيد,Other,متى صلاة العيد؟,8:30,"['صلاة العيد', 'توقيت']",2024-04-09
تحضيرات عيد الفطر,Other,متى العيد؟,عيد الفطر المبارك سيبدأ غدًا الأربعاء.,"['عيد الفطر', 'تاريخ العيد']",2024-04-09
زكاة الفطر,Other,فيه مكان او تطبيق نقدر نزكي منه زكاة الفطر,في مسجد الجامعه يخرجون الزكاة.,"['زكاة الفطر', 'مسجد الجامعة']",2024-04-09
Wearing Cultural Attire on Campus,Student Life,هل يمكننا ارتداء الجنابي خارج الحرم الجامعي؟,لا يُنصح بارتداء الجنابي خارج الحرم الجامعي لتفادي المشاكل مع الشرطة.,"['جنابي', 'الحرم الجامعي', 'الشرطة']",2024-04-10
Buying Cultural Attire,Student Life,كيف يمكنني شراء جنابي؟,يُفضل أن تجلبها معك من بلدك، لكن ربما تجدها في KL.,"['شراء', 'جنابي', 'KL']",2024-04-10
PhD Students Connection,Academic,أريد التواصل مع طلاب دكتوراه عرب في تخصص المحاسبة في UTM، كيف يمكنني فعل ذلك؟,تواصل معي مباشرة إذا كنت بحاجة إلى أي معلومات.,"['دكتوراه', 'محاسبة', 'طلاب عرب', 'UTM']",2024-04-11
Malaysia Visa Registration,Visa/Immigration,ما هي البطاقة التي يجب أن أخرجها قبل دخول ماليزيا؟,اسمها visa Malaysia arrival، يمكنك التسجيل عبر هذا الرابط: https://imigresen-online.imi.gov.my/mdac/main?registerMain.,"['تأشيرة', 'ماليزيا', 'تسجيل']",2024-04-13
Registration for Next Academic Year,Academic,متى يبدأ التسجيل للسنة القادمة؟,قد بدأ التسجيل بالفعل.,"['التسجيل', 'السنة القادمة', 'UTM']",2024-04-13
Traffic Violation Guidance,Student Life,ما هي الأوراق المطلوبة للاحتفاظ بها عند قيادة الدراجة في ماليزيا؟,يجب أن تكون معك رخصة القيادة، تأمين، وثيقة روود تاكس، وإثبات الهوية.,"['رخصة', 'دراجة', 'روود تاكس']",2024-04-15
Driving License Information,Student Life,كيف يمكنني الحصول على رخصة الدراجة النارية في ماليزيا؟,"ابحث في جوجل ماب عن ""مدرسة تعليم القيادة""، واطلع على تفاصيل الرخص.","['رخصة', 'دراجة نارية', 'مدرسة تعليم القيادة']",2024-04-15
Driving School Fees and Procedures,Academic,ما هي الرسوم المتعلقة بالمدرسة وكيفية التقدم لاختبار القيادة في ماليزيا؟,تختلف الرسوم من مدرسة لأخرى في جوهور، لكنها تتراوح بين 600 و 700 رنجت. بعد اجتياز المدرسة، يجب دفع حوالي 120 رنجت للـ JPJ للحصول على رخصة مؤقتة لمدة 3 شهور. تشمل العملية أخذ كلاس ثيوري، اختبار محوسب، والعديد من الكلاسات العملية قبل الذهاب لامتحان ال QTI.,"['المدرسة', 'الرخصة', 'الاختبار', 'الرسوم']",2024-04-15
Semester Fee Structure,Academic,هل رسوم السمستر مبلغ ثابت أو بحسب عدد المواد التي أنزلها؟,رسوم السمستر ثابتة.,"['رسوم السمستر', 'الجامعة', 'ثابت']",2024-04-15
University Payment Deadlines,Academic,متى آخر موعد لدفع رسوم الجامعة وهل أستطيع الدفع بالتقسيط؟,يمكنك الدفع حتى بعد الفاينلات، ويُمكنك الدفع بالتقسيط.,"['رسوم الجامعة', 'تسديد', 'تقسيط']",2024-04-16
Bank Account Opening Requirements,Student Life,ما هي الأوراق المطلوبة لفتح حساب في بنك May bank؟,يطلبون منك جواز السفر، الفيزا، ورقة الجامعة والإيفال.,"['فتح حساب', 'May bank', 'أوراق مطلوبة']",2024-04-16
EMGS Application Status,Visa/Immigration,ما معنى اللون الأسود في EMGS وما هي المعاملة 20٪؟,إشارة إلى حالة معينة في الطلب. يجب التحقق من تفاصيل المعاملة المطلوبة.,"['EMGS', 'لون أسود', 'معاملة']",2024-04-17
Study Program at ELS,Academic,كم تكلفة الدورة الواحدة في معهد ELS وهل يقبلون شهادة آيلتس بمعدل 5؟,الدورة تكلف مبلغ كبير، ومن الأفضل حضور الآيلتس مباشرة للاختبار. يوجد ظلم كبير في المعهد.,"['معهد ELS', 'تكلفة الدورة', 'شهادة آيلتس']",2024-04-19
Public Transportation in Johor,Student Life,كيف يمكنني التواصل مع باصات داخل جوهور ومعرفة خطوطها؟,يمكنك استخدام تطبيق Lugo لرؤية مواعيد ومسارات الباصات.,"['باصات', 'خطوط النقل', 'تطبيق Lugo']",2024-04-20
Bus Communication in Johor,Student Life,ممكن احد يقلي كيف اتواصل باصات داخل جوهور واعرف كيف خطوطها,في تطبيق اسمه lugo وتقدر تشوف بخرايط قوقل تضغط على محطة باص وبتطلع لك مواعيدها ومساراتها.,"['Johor', 'bus', 'transportation', 'routes', 'application']",2024-04-20
Final Exam Schedule,Academic,متى اجازة السنه وكم مدتها ؟,تنتهي اختبارات الفاينل لهذا السمستر ٢٧ يوليو وتبداء دراسه السنه الجايه من شهر اكتوبر.,"['final exam', 'schedule', 'academic year', 'July 27', 'October']",2024-04-20
Increased University Fees,Academic,لاحظت ان رسوم الجامعة حقي زادت 1000 رنقت عن المعتاد احد صارت له او صارت معاه من قبل؟ ومين المفروض اكلم او ايش اسوي؟,راسل البندهاري عالايميل ومستني منهم رد. ايميل البندهاري: bendahari-ukp@utm.my.,"['university fees', 'increase', 'contact', 'bendahari']",2024-04-21
Traveling to Malaysia with Expired Visa,Visa/Immigration,هل اقدر اجي على ماليزيا سياحة اذا فيزتي انتهت؟,تقدر.,"['Malaysia', 'expired visa', 'tourism']",2024-04-22
Weight Restrictions on Flights,Student Life,كم الوزن المتاح للطيران؟,في شنطة الشحن ما في مشكله لو أخذت معاك عسل او عطر او بخاخ شعر. لكن في الشنطه الذي بتاخذها معاك اقصد شنطه اليد ما يسمحون تاخذ فيها هذي الاشياء.,"['air travel', 'weight limits', 'baggage', 'liquids']",2024-04-23
توصيات للسفر والشنط,Visa/Immigration,إذا ليس لدي إقامة سعودية وأذهب إلى السعودية، هل يجب أن أملك تذكرة وهمية؟,نعم، يجب أن يكون معك تذكرة وهمية من السعودية إلى اليمن أو لبلد آخر، لأنه في حال عدم وجودها قد تواجه مشاكل في المطار.,"['تذكرة وهمية', 'سفر', 'السعودية']",2024-04-23
جدول الاختبارات,Academic,متى آخر يوم لجدول اختبارات البريدجنق؟,اختبارات البريدجنق دائمًا تكون في أول أسبوع من أسابيع الاختبارات.,"['اختبارات', 'البردجينق', 'جدول']",2024-04-24
وزن الشنط في Air Asia,Visa/Immigration,كيف أحجز طيران Air Asia مع شنط كبيرة؟,يمكنك إضافة الوزن الزائد عند شراء التذاكر أو عبر التطبيق، حيث ستكون الأسعار أعلى في المطار.,"['Air Asia', 'شنط', 'وزن']",2024-04-24
تعميد الشهادات,Academic,كيف أعمّد شهادتي من السفارة السعودية في كوالالمبور؟,يجب أن تختم الشهادة من وزارة التعليم العالي، الخارجية الماليزية، الملحقية اليمنية، والسفارة اليمنية، وإذا كنت ترغب في العمل في السعودية يجب أيضًا ختمها من السفارة السعودية.,"['تعميد الشهادة', 'السفارة السعودية']",2024-04-26
التحويل من باي بال إلى رنجت,Other,كيف يمكنني تحويل مبلغ من باي بال إلى رنجت؟,يمكنك إضافة بطاقتك المالية في تطبيق PayPal وسحب المبلغ، لكن سيكون هناك رسوم للتحويل.,"['باي بال', 'تحويل', 'رنجت']",2024-04-24
مواعيد الدراسة,Academic,متى ستبدأ الدراسة بعد الإجازة؟,ستعود الدراسة في أكتوبر، لكن لم يتم تحديد اليوم بالضبط.,"['الدراسة', 'التقويم الأكاديمي']",2024-04-26
نقل من جوهور إلى كوالالمبور,Other,ما هو أرخص وسيلة نقل من جوهور إلى كوالالمبور؟,الباص هو الأرخص، وتكلفته حوالي 35 رنجت.,"['نقل', 'جوهور', 'كوالالمبور']",2024-04-24
متطلبات التأشيرات للترانزيت,Visa/Immigration,هل أحتاج فيزا ترانزيت عند الدخول لإندونيسيا؟,نعم، تحتاج إلى فيزا إذا كنت قادمًا من الدول الأخرى.,"['فيزا', 'ترانزيت', 'إندونيسيا']",2024-04-24
شهادة حسن سيرة وسلوك,Academic,يا اخوان شهادة حسن سيرة وسلوك كم تاخذ عبال ماتطلع اتكلم عن اللي طلعوها الموقع، وهل فيه طريقة اطلعها بطريقة أسرع؟,حقيقي للأسف,"['شهادة', 'حسن سيرة وسلوك', 'طريقة أسرع']",2024-04-28
تسجيل الدخول للجامعة,Academic,ياخوان الجامعه متى يعطونا ID صار لهم شهرين وما عطونا وجه.,بودي أن أتواصل معكم في حال كانت هناك أي تحديثات من الإدارة.,"['ID', 'الجامعة', 'تأخير']",2024-04-29
ختم الشهادات,Academic,شباب فيه شركة او جهة تختم الشهايد من التعليم العالي و الخارجية الماليزية و السفارة؟,اعرف واحد شغال ف الحاجات ذي بس ياخذ مبلغ رمزي.,"['ختم الشهادات', 'التعليم العالي', 'السفارة الماليزية']",2024-04-28
السفر من ماليزيا,Visa/Immigration,هل ممكن طالب يسافر بلد غير اللي عنده إقامة فيها من ماليزيا مباشرة؟ ولا لازم يرجع بلده وبعدين يسافر من هناك؟,عادي جداً,"['السفر', 'إقامة', 'ماليزيا']",2024-04-29
Graduation Gown Borrowing Request,Student Life,هل في احد معه كوت التخرج (ماجستير او بكلاريوس) !؟ ممكن نستعيره من أجل التصوير.,معتز باعلوي UTM: التصوير عندي لكن الكوت له اجراء معين مع الجامعه,"['graduation', 'gown', 'photography', 'university']",2024-01-02
Deadline for Registration at Bridging Program,Academic,متى اخر يوم تسجيل في بريدجنق؟,Marya: اتوقع قبل بدايه الدراسة باسبوع تقريبا,"['registration', 'Bridging program', 'deadline']",2024-02-05
Computer Availability at University,Academic,السلام عليكم ، يخوان الكمبيوترات الي في الجامعة شغالة ولا؟,عبدالرحمن دانعي UTM: لازم تحدد فين في الجامعه بالضبط,"['computers', 'university', 'availability']",2024-02-05
Visa Renewal Process,Visa/Immigration,شباب كيف طريقة تجديد الفيزا من موقع UTM؟,أيمن باوزير: MANUAL_STUDENT.pdf • 12 pages document omitted,"['visa', 'renewal', 'UTM']",2024-02-08
Study Visa Cancellation Requirements,Visa/Immigration,ايش متطلبات كنسلة فيزة الدراسه الماليزيه؟,هاني أحمد UTM: ١ - تذكرة عودة للبلد الام او المقيم فيه. ٢- ورقة اثبات من الكلية انك خلصت المواد المقررة. ٣ - صورة للجواز والفيزا.,"['visa cancellation', 'study visa', 'requirements']",2024-02-11
Engineering Majors for Masters,Academic,ماهي الخيارات المتاحه للماجستير في قسم ميكاترونكس او مكينيك او كهرباء لطالب بكالوريوس هندسه بتروليه؟,No specific answer found.,"[""master's program"", 'mechatronics', 'mechanical engineering', 'electrical engineering']",2024-02-03
Family Visit Visa Application from Malaysia,Visa/Immigration,هل ممكن التقديم على فيزة الزيارة العائلية الى السعودية من ماليزيا؟ وكيف اجراءاتها؟,عبد الله: نعم تقدر، عن طريق مكتب تأشير في كوالالمبور.,"['family visit visa', 'Saudi Arabia', 'Malaysia']",2024-02-10
International Driving License Inquiry,Visa/Immigration,ممكن اذا حد يعرف مكتب يطلع international driving license يجيب لي رقهم و كمان كم بيكون سعرها.,هذا يطلع يمنية دولية ب70 رنجت صلاحيتها سنة واحدة.,"['international driving license', 'حصول على رخصة', '70 رنجت']",2024-02-12
Tourist Visa Duration for Malaysia,Visa/Immigration,الفيزا السياحيه لماليزيا كم مدتها؟ مازالت ٣ شهور وللا غيروا المده.,نعم، مازالت 90 يوم فقط بعض الأشخاص يختموا لهم ختم ال90 يوم ويضيفوا جمبه تاريخ العودة الي في تذكرة العودة.,"['فيزا سياحية', 'ماليزيا', '90 يوم']",2024-02-12
Accommodation and Room Availability,Student Life,هل في أحد عنده قروب لتأجير الغرف او الشقق في KL؟,https://chat.whatsapp.com/EDvNcWVUnekDy2Wf11A9i7,"['تأجير الغرف', 'شقق', 'كوالالمبور']",2024-02-18
Medical Examination Inquiry for University,Academic,هل احد جرب يسوي فحص طبي لجامعة بمكان غير عياده الجامعة ويطلع في نفس اليوم؟,لا يوجد إجابة واضحة أو معلومات مفيدة متاحة.,"['فحص طبي', 'جامعة', 'عيادة']",2024-02-19
Foundation Program and Registration Costs,Academic,كنت اشتي اعرف كم سعر القبول لطالب جديد وكذالك كم سعر رسوم الفاونديشن لو تكرمتم.,سعر الفاونديشن مع التسجيل في البداية حوالي 12800 رنجت وسعر الفاونديشن لحاله 5317 رنجت.,"['رسوم قبول', 'فاونديشن', '12800 رنجت', '5317 رنجت']",2024-02-21
Travel Booking Platforms,Student Life,ياشباب ايش افضل طريقه عشان احجز رحله للسعوديه.,خش موقع اسمه Skyscanner حط التواريخ والوجهه ويطلعلك الاسعار.,"['حجز رحلات', 'سكاي سكانر', 'السعودية']",2024-02-22
Flight Booking for Travel to Saudi Arabia,Student Life,ايش افضل طريقه عشان احجز رحله للسعوديه؟,خش موقع اسمه Skyscanner حط التواريخ والوجهه ويطلعلك الاسعار تبع اكثر من شركه سواء من الموقع الرسمي او طرف ثالث وغالبا الحجز من الموقع الرسمي افضل لانه تكنسل او تعدل براحتك من الموقع او اتصال.,"['رحلة', 'السعودية', 'حجز طيران', 'Skyscanner']",2024-02-22
Tuition Fees Information,Academic,ما هي رسوم السمستر في UTM للميكاترونكس؟,الجديد قريب 8600، وهذه رسوم سمستر فقط. رسوم التأمين والرسوم الأخرى تختلف.,"['UTM', 'رسوم سمستر', 'ميكاترونكس']",2024-02-22
English Language Assessment at University,Academic,هل هناك اختبار للغة الإنجليزية في الجامعة وما نوعه؟,نعم يوجد اختبار اسمه language skills. الدرجه المطلوبه هي ١٦٠ من ١٨٠، ويجب أن تكون فوق المتوسط.,"['اختبار', 'لغة إنجليزية', 'language skills']",2024-02-24
Changing Teaching Methods During Ramadan,Academic,ما هي الخطة لتغيير طرق التدريس خلال رمضان؟,جميع نشاطات التدريس من 5 أبريل 2024 حتى 19 أبريل 2024، ستقام عبر الإنترنت.,"['طرق تدريس', 'رمضان', 'تدريس عبر الإنترنت']",2024-02-25
Payment of Traffic Violations,Other,كيف أستطيع سداد المخالفات المرورية حق UTM؟,تدفع من UTM SMART دفع عادي بتلقاها موجودة.,"['مخالفات مرورية', 'سداد', 'UTM SMART']",2024-02-25
Sending Money to Yemen,Other,كيف يمكنني تحويل الأموال من ماليزيا إلى اليمن؟,تحول عبر Western Union أو MoneyGram على نفس اسم المستلم الموجود في الجواز.,"['تحويل أموال', 'ماليزي', 'اليمن']",2024-02-26
Request for Email Addresses for Academic Purposes,Academic,ممكن ايميل كلية إدارة الأعمال؟,تواصل مع الرقم أو البريد الإلكتروني الذي يقدمه الزملاء.,"['كلية إدارة الأعمال', 'الإيميل', 'استفسار']",2024-02-26
Understanding Lecture Format for Upcoming Semester,Academic,كيف سيكون وضع أول ثلاثة أسابيع من الدراسة؟,أول ثلاثة أسابيع ستكون حضورية، ولكن بعض الكليات أعطت الحرية للطلاب في الحضور أو الأونلاين.,"['الدراسة', 'حضوري', 'أونلاين']",2024-02-27
Lecture Attendance Modes for Semester 2,Academic,كيف سيتم تنظيم المحاضرات في الأسابيع الأولى من الفصل الدراسي الثاني؟,الأسابيع الثلاثة الأولى ستقام بشكل حضوري، ولكن في كلية الكومبيوتر تقدم الحرية للطلاب للاختيار بين الحضور أو الدراسة عبر الإنترنت. الدكاترة سيكونون متواجدين في الكلاس، ولكن يمكن للطلاب حضور المحاضرات من المنزل.,"['محاضرات', 'فصل دراسي', 'حضور', 'أونلاين']",2024-02-27
Visa Reapplication Costs,Visa/Immigration,كم تكلفة تجديد الفيزا؟,تجديد الفيزا السنة ب 803.4.,"['تجديد الفيزا', 'تكلفة', 'عام']",2024-02-29
E-Registration and Fee Deadlines for New Students,Academic,متى آخر موعد لدفع الرسوم والاستمرار في إجراءات ما بعد الفحص الطبي؟,آخر موعد لتقديم الeRegistration هو 29 فبراير، يمكن أيضًا إكمال من 1-7 مارس عبر التواصل مع SRAD، لكن يجب الانتهاء من جميع الإجراءات وتسليم الجواز خلال 30 يومًا من الوصول.,"['eRegistration', 'رسوم', 'إجراءات', 'فحص طبي']",2024-02-29
Contacting the Faculty of Computer Science,Academic,كيف يمكنني التواصل مع كلية علوم الكمبيوتر؟,يمكن التواصل عبر البريد الإلكتروني: computing@utm.my أو contact@fc.utm.my.,"['التواصل', 'كلية علوم الكمبيوتر', 'البريد الإلكتروني']",2024-02-28
GRE Test Inquiry,Academic,هل هناك أحد اختبر من قبل اختبار GRE؟,يرجى التواصل مع محمد مصطفى العمراني عبر الخاص.,"['اختبار GRE', 'استفسار']",2024-02-29
E-Learning Access Issues,Academic,E learning ما يفتح لي هل المشكله عند الجميع ولا فقط عندي,لا حتى عندي ما فتح يا أخي فارس.,"['E-learning', 'access issues', 'UTM']",2024-01-01
Password Change Procedure,Academic,كيف اغير كلمة السر لما احاول من utmportal مايرضي,اضغط على forget password وغیرہ من هناك.,"['password', 'UTM portal', 'change']",2024-01-01
Visa Renewal Application Issues,Visa/Immigration,انا جيت برفع أوراق تجديد للفيزا بالموقع حق الجامعه بس يطلع لي الأوراق القديمه الي رفعتها التجديد الاول، هل كذا صحيح ولا في طريقه ثانيه,لازم تروح لل UTMi وتكلمهم يفتحو لك الابليكشن لأنه انا حصل معي زيك.,"['visa renewal', 'application issues', 'UTMi']",2024-01-01
Lost Wallet Announcement,Other,محفظتي ضاعت بداخل الجامعه، كيف ممكن استرجعها,إذا حصلت المحفظة أو جالك خبر، ياليت تتواصل معي على الرقم 01168716780.,"['lost wallet', 'university', 'contact']",2024-01-02
Embassy Document Pickup,Visa/Immigration,اذا معي جوازي جاهز فالسفاره، هل عادي احد يستلمه من KL ولا لازم اروحلهم انا؟,ترسلهم توكيل عن طريق الايميل.,"['passport', 'embassy', 'pick up']",2024-01-03
Master's and PhD Candidates Recruitment,Academic,هل هناك فرص للدراسات العليا في قسم الهندسة الكهربائية بجامعة UTM؟,"Looking for 1 Master's candidate and 1 PhD candidate in the Department of Electrical Power Engineering, UTM Malaysia.","[""Master's candidate"", 'PhD candidate', 'job opportunity']",2024-01-06
Visa Transfer Knowledge,Visa/Immigration,في احد يعرف اش هيا اسهل طريقة الواحد يحول فيها فلوس من بنك ماليزي لأندونيسي؟,انا دايم احول باستخدام Wise.,"['money transfer', 'Malaysia', 'Indonesia', 'Wise']",2024-01-11
University Clinic Availability,Student Life,هل عيادة الجامعة الطوارئ مفتوحة الان؟,نعم انا رحت مره كانت مفتوحه جيت 3 الليل.,"['university clinic', 'emergency', 'availability']",2024-01-12
University Emergency Clinic Hours,Student Life,هل عيادة الجامعة الطوارئ مفتوحة الان ؟,نعم انا رحت مره كانت مفتوحه جيت 3 الليل بس يستحسن اتصل عليهم.,"['عيادة', 'الطوارئ', 'جامعة']",2024-01-01
Shipping Options for Documents,Student Life,هل في شركة غير ال DHL لإرسال الأوراق والأغراض؟,J&T ممتازين.,"['شركة شحن', 'DHL', 'إرسال أوراق']",2024-01-13
Lost Road Tax Procedure,Academic,ايش الإجراءات اللازمة اذا تم فقدان الroad tax؟,جرب روح الJPJ واطلب منهم نسخه جديدة وزودهم بس برقم اللوحة.,"['الضرائب', 'إجراءات', 'فقدان']",2024-01-13
Survey for Student Well-Being,Academic,ما هو رابط الاستبيان الخاص برفع الوعي بمستوى الرفاهية للطلاب؟,https://forms.gle/RBwQYjpBT7cY3dyRA ، إذا كان لديك أي أسئلة، يرجى التواصل مع السيدة سوك هوي عبر البريد الإلكتروني sookhuey5398@gmail.com.,"['استبيان', 'رفاهية الطلاب', 'جامعة']",2024-01-16
Certificate of Good Conduct Application,Visa/Immigration,كيف الواحد يطلع certificate of good conduct online؟,قدم من هنا https://ekonsular.kln.gov.my/home.,"['certificate', 'good conduct', 'طلب']",2024-01-17
Requirements for Visa Cancellation,Visa/Immigration,الاوراق المطلوبة لكانسل الفيزا و كم المدة اللي تاخذها؟,يجب التأكد من الأوراق المطلوبة من السفارة، وعادة تأخذ شهر تقريبا.,"['فيزا', 'إلغاء', 'متطلبات']",2024-01-16
MoneyGram Pickup Locations,Student Life,من وين اقدر استلم حوالات موني جرام؟,SMJ TERATAI SDN BHD (MONEY CHANGER & REMITTANCE) يمكن معرفة المزيد من خلال هذا الرابط: https://maps.app.goo.gl/nrBwSdhzjEgAfePw8.,"['موني جرام', 'استلام الحوالات', 'موقع']",2024-01-15
Requirements for Singapore Visa,Visa/Immigration,احد عنده فكرة عن متطلبات فيزة سنغافورة السياحية لليمنيين؟,تقدم عليها عبر مكاتب معتمدة من السفارة، تأخذ حوالي 3 أيام إلى أسبوع.,"['فيزا', 'سنغافورة', 'متطلبات']",2024-01-18
Transcripts Collection Process,Academic,الي قدموا على ال transcript من وين تستلموها؟,من مكتب ال AMD.,"['transcript', 'استلام', 'مكتب']",2024-01-15
Contact Information for Academic Office,Other,ممكن رقم روحاني academic office N28a؟,Bendahari-ukp@utm.my.,"['مكتب أكاديمي', 'رقم', 'تواصل']",2024-01-15
جواز السفر وتجديده,Visa/Immigration,كيف طريقة تجديد الجواز في السفارة او تمديده؟ وكم المدة التي تأخذها الإجراءات؟,تجديد الجواز لا يحتاج الذهاب للسفارة، يمكنك التواصل معهم عن طريق الرقم وإرسال المتطلبات، وسيعطونك رقم للتواصل لمعرفة حالة جوازك. للتمديد، يجب الذهاب بنفسك وسيعطونك ختم لمده سنتين. الإجراءات تأخذ حوالي أسبوعين.,"['جواز سفر', 'تجديد', 'إجراءات', 'تمديد']",2024-01-20
